,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
2990,No Experience,Spain,Primary education,Most prevalent qualification at this stage of career,44649.559,Statutory working time required at school,Hours per year,1140.0,39.16627982456141
2991,10 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,48515.587,Statutory teaching time,Hours per year,871.31421,55.680931681350636
2992,10 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,48515.587,Total statutory working time,Hours per year,1425.0,34.04602596491228
2993,10 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,48515.587,Statutory working time required at school,Hours per year,1140.0,42.55753245614035
2994,10 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,48515.587,Statutory teaching time,Hours per year,871.31421,55.680931681350636
2995,10 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,48515.587,Total statutory working time,Hours per year,1425.0,34.04602596491228
2996,10 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,48515.587,Statutory working time required at school,Hours per year,1140.0,42.55753245614035
2997,10 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,48515.587,Statutory teaching time,Hours per year,871.31421,55.680931681350636
2998,10 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,48515.587,Total statutory working time,Hours per year,1425.0,34.04602596491228
2999,10 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,48515.587,Statutory working time required at school,Hours per year,1140.0,42.55753245614035
3000,15 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,51715.425,Statutory teaching time,Hours per year,871.31421,59.353358876128055
3001,15 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,51715.425,Total statutory working time,Hours per year,1425.0,36.291526315789476
3002,15 years of Experience,Spain,Primary education,Maximum qualification at this stage of career,51715.425,Statutory working time required at school,Hours per year,1140.0,45.36440789473684
3003,15 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,51715.425,Statutory teaching time,Hours per year,871.31421,59.353358876128055
3004,15 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,51715.425,Total statutory working time,Hours per year,1425.0,36.291526315789476
3005,15 years of Experience,Spain,Primary education,Minimum qualification at this stage of career,51715.425,Statutory working time required at school,Hours per year,1140.0,45.36440789473684
3006,15 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,51715.425,Statutory teaching time,Hours per year,871.31421,59.353358876128055
3007,15 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,51715.425,Total statutory working time,Hours per year,1425.0,36.291526315789476
3008,15 years of Experience,Spain,Primary education,Most prevalent qualification at this stage of career,51715.425,Statutory working time required at school,Hours per year,1140.0,45.36440789473684
3009,Maximum Experience,Spain,Primary education,Maximum qualification at this stage of career,63910.275,Statutory teaching time,Hours per year,871.31421,73.34928578750024
3010,Maximum Experience,Spain,Primary education,Maximum qualification at this stage of career,63910.275,Total statutory working time,Hours per year,1425.0,44.849315789473685
3011,Maximum Experience,Spain,Primary education,Maximum qualification at this stage of career,63910.275,Statutory working time required at school,Hours per year,1140.0,56.061644736842105
3012,Maximum Experience,Spain,Primary education,Minimum qualification at this stage of career,63910.275,Statutory teaching time,Hours per year,871.31421,73.34928578750024
3013,Maximum Experience,Spain,Primary education,Minimum qualification at this stage of career,63910.275,Total statutory working time,Hours per year,1425.0,44.849315789473685
3014,Maximum Experience,Spain,Primary education,Minimum qualification at this stage of career,63910.275,Statutory working time required at school,Hours per year,1140.0,56.061644736842105
3015,Maximum Experience,Spain,Primary education,Most prevalent qualification at this stage of career,63910.275,Statutory teaching time,Hours per year,871.31421,73.34928578750024
3016,Maximum Experience,Spain,Primary education,Most prevalent qualification at this stage of career,63910.275,Total statutory working time,Hours per year,1425.0,44.849315789473685
3017,Maximum Experience,Spain,Primary education,Most prevalent qualification at this stage of career,63910.275,Statutory working time required at school,Hours per year,1140.0,56.061644736842105
3018,No Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,49904.915,Statutory teaching time,Hours per year,665.09976,75.03372877476306
3019,No Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,49904.915,Total statutory working time,Hours per year,1425.0,35.02099298245614
3020,No Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,49904.915,Statutory working time required at school,Hours per year,1140.0,43.77624122807018
3021,No Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,49904.915,Statutory teaching time,Hours per year,665.09976,75.03372877476306
3022,No Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,49904.915,Total statutory working time,Hours per year,1425.0,35.02099298245614
3023,No Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,49904.915,Statutory working time required at school,Hours per year,1140.0,43.77624122807018
3024,No Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,49904.915,Statutory teaching time,Hours per year,665.09976,75.03372877476306
3025,No Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,49904.915,Total statutory working time,Hours per year,1425.0,35.02099298245614
3026,No Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,49904.915,Statutory working time required at school,Hours per year,1140.0,43.77624122807018
3027,10 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,57507.753,Statutory teaching time,Hours per year,665.09976,86.46485303197223
3028,10 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,57507.753,Total statutory working time,Hours per year,1425.0,40.35631789473684
3029,10 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,57507.753,Statutory working time required at school,Hours per year,1140.0,50.44539736842105
3030,10 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,54243.17,Statutory teaching time,Hours per year,665.09976,81.55644199901681
3031,10 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,54243.17,Total statutory working time,Hours per year,1425.0,38.06538245614035
3032,10 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,54243.17,Statutory working time required at school,Hours per year,1140.0,47.58172807017544
3033,10 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,54243.17,Statutory teaching time,Hours per year,665.09976,81.55644199901681
3034,10 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,54243.17,Total statutory working time,Hours per year,1425.0,38.06538245614035
3035,10 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,54243.17,Statutory working time required at school,Hours per year,1140.0,47.58172807017544
3036,15 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,61135.375,Statutory teaching time,Hours per year,665.09976,91.91910548877661
3037,15 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,61135.375,Total statutory working time,Hours per year,1425.0,42.90201754385965
3038,15 years of Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,61135.375,Statutory working time required at school,Hours per year,1140.0,53.62752192982456
3039,15 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,57758.407,Statutory teaching time,Hours per year,665.09976,86.84171980455986
3040,15 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,57758.407,Total statutory working time,Hours per year,1425.0,40.53221543859649
3041,15 years of Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,57758.407,Statutory working time required at school,Hours per year,1140.0,50.66526929824561
3042,15 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,57758.407,Statutory teaching time,Hours per year,665.09976,86.84171980455986
3043,15 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,57758.407,Total statutory working time,Hours per year,1425.0,40.53221543859649
3044,15 years of Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,57758.407,Statutory working time required at school,Hours per year,1140.0,50.66526929824561
3045,Maximum Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,74824.686,Statutory teaching time,Hours per year,665.09976,112.50144790309352
3046,Maximum Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,74824.686,Total statutory working time,Hours per year,1425.0,52.50855157894737
3047,Maximum Experience,Spain,Upper secondary general education,Maximum qualification at this stage of career,74824.686,Statutory working time required at school,Hours per year,1140.0,65.63568947368421
3048,Maximum Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,71235.477,Statutory teaching time,Hours per year,665.09976,107.10495069190824
3049,Maximum Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,71235.477,Total statutory working time,Hours per year,1425.0,49.98980842105263
3050,Maximum Experience,Spain,Upper secondary general education,Minimum qualification at this stage of career,71235.477,Statutory working time required at school,Hours per year,1140.0,62.48726052631579
3051,Maximum Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,71235.477,Statutory teaching time,Hours per year,665.09976,107.10495069190824
3052,Maximum Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,71235.477,Total statutory working time,Hours per year,1425.0,49.98980842105263
3053,Maximum Experience,Spain,Upper secondary general education,Most prevalent qualification at this stage of career,71235.477,Statutory working time required at school,Hours per year,1140.0,62.48726052631579
3054,No Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,43941.126,Total statutory working time,Hours per year,1767.0,24.86764346349745
3055,No Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,43941.126,Statutory working time required at school,Hours per year,1360.0,32.309651470588236
3056,No Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,43941.126,Total statutory working time,Hours per year,1767.0,24.86764346349745
3057,No Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,43941.126,Statutory working time required at school,Hours per year,1360.0,32.309651470588236
3058,No Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,43941.126,Total statutory working time,Hours per year,1767.0,24.86764346349745
3059,No Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,43941.126,Statutory working time required at school,Hours per year,1360.0,32.309651470588236
3060,10 years of Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,48893.122,Total statutory working time,Hours per year,1767.0,27.670131295981893
3061,10 years of Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,48893.122,Statutory working time required at school,Hours per year,1360.0,35.950825
3062,10 years of Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,48893.122,Total statutory working time,Hours per year,1767.0,27.670131295981893
3063,10 years of Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,48893.122,Statutory working time required at school,Hours per year,1360.0,35.950825
3064,10 years of Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,48893.122,Total statutory working time,Hours per year,1767.0,27.670131295981893
3065,10 years of Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,48893.122,Statutory working time required at school,Hours per year,1360.0,35.950825
3066,15 years of Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,50397.526,Total statutory working time,Hours per year,1767.0,28.52152009054895
3067,15 years of Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,50397.526,Statutory working time required at school,Hours per year,1360.0,37.0570044117647
3068,15 years of Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,50397.526,Total statutory working time,Hours per year,1767.0,28.52152009054895
3069,15 years of Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,50397.526,Statutory working time required at school,Hours per year,1360.0,37.0570044117647
3070,15 years of Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,50397.526,Total statutory working time,Hours per year,1767.0,28.52152009054895
3071,15 years of Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,50397.526,Statutory working time required at school,Hours per year,1360.0,37.0570044117647
3072,Maximum Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,58421.013,Total statutory working time,Hours per year,1767.0,33.062259762309
3073,Maximum Experience,Sweden,Lower secondary general education,Maximum qualification at this stage of career,58421.013,Statutory working time required at school,Hours per year,1360.0,42.956627205882356
3074,Maximum Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,58421.013,Total statutory working time,Hours per year,1767.0,33.062259762309
3075,Maximum Experience,Sweden,Lower secondary general education,Minimum qualification at this stage of career,58421.013,Statutory working time required at school,Hours per year,1360.0,42.956627205882356
3076,Maximum Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,58421.013,Total statutory working time,Hours per year,1767.0,33.062259762309
3077,Maximum Experience,Sweden,Lower secondary general education,Most prevalent qualification at this stage of career,58421.013,Statutory working time required at school,Hours per year,1360.0,42.956627205882356
3078,No Experience,Sweden,Pre-primary education,Maximum qualification at this stage of career,42374.039,Statutory working time required at school,Hours per year,1792.0,23.646227120535713
3079,No Experience,Sweden,Pre-primary education,Minimum qualification at this stage of career,42374.039,Statutory working time required at school,Hours per year,1792.0,23.646227120535713
3080,No Experience,Sweden,Pre-primary education,Most prevalent qualification at this stage of career,42374.039,Statutory working time required at school,Hours per year,1792.0,23.646227120535713
3081,10 years of Experience,Sweden,Pre-primary education,Maximum qualification at this stage of career,44430.058,Statutory working time required at school,Hours per year,1792.0,24.79355915178571
3082,10 years of Experience,Sweden,Pre-primary education,Minimum qualification at this stage of career,44430.058,Statutory working time required at school,Hours per year,1792.0,24.79355915178571
3083,10 years of Experience,Sweden,Pre-primary education,Most prevalent qualification at this stage of career,44430.058,Statutory working time required at school,Hours per year,1792.0,24.79355915178571
3084,15 years of Experience,Sweden,Pre-primary education,Maximum qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1792.0,25.18533091517857
3085,15 years of Experience,Sweden,Pre-primary education,Minimum qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1792.0,25.18533091517857
3086,15 years of Experience,Sweden,Pre-primary education,Most prevalent qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1792.0,25.18533091517857
3087,Maximum Experience,Sweden,Pre-primary education,Maximum qualification at this stage of career,49457.273,Statutory working time required at school,Hours per year,1792.0,27.598924665178572
3088,Maximum Experience,Sweden,Pre-primary education,Minimum qualification at this stage of career,49457.273,Statutory working time required at school,Hours per year,1792.0,27.598924665178572
3089,Maximum Experience,Sweden,Pre-primary education,Most prevalent qualification at this stage of career,49457.273,Statutory working time required at school,Hours per year,1792.0,27.598924665178572
3090,No Experience,Sweden,Primary education,Maximum qualification at this stage of career,43000.874,Total statutory working time,Hours per year,1767.0,24.33552574985852
3091,No Experience,Sweden,Primary education,Maximum qualification at this stage of career,43000.874,Statutory working time required at school,Hours per year,1360.0,31.618289705882354
3092,No Experience,Sweden,Primary education,Minimum qualification at this stage of career,43000.874,Total statutory working time,Hours per year,1767.0,24.33552574985852
3093,No Experience,Sweden,Primary education,Minimum qualification at this stage of career,43000.874,Statutory working time required at school,Hours per year,1360.0,31.618289705882354
3094,No Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,43000.874,Total statutory working time,Hours per year,1767.0,24.33552574985852
3095,No Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,43000.874,Statutory working time required at school,Hours per year,1360.0,31.618289705882354
3096,10 years of Experience,Sweden,Primary education,Maximum qualification at this stage of career,47451.402,Total statutory working time,Hours per year,1767.0,26.85421731748727
3097,10 years of Experience,Sweden,Primary education,Maximum qualification at this stage of career,47451.402,Statutory working time required at school,Hours per year,1360.0,34.890736764705885
3098,10 years of Experience,Sweden,Primary education,Minimum qualification at this stage of career,47451.402,Total statutory working time,Hours per year,1767.0,26.85421731748727
3099,10 years of Experience,Sweden,Primary education,Minimum qualification at this stage of career,47451.402,Statutory working time required at school,Hours per year,1360.0,34.890736764705885
3100,10 years of Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,47451.402,Total statutory working time,Hours per year,1767.0,26.85421731748727
3101,10 years of Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,47451.402,Statutory working time required at school,Hours per year,1360.0,34.890736764705885
3102,15 years of Experience,Sweden,Primary education,Maximum qualification at this stage of career,49582.64,Total statutory working time,Hours per year,1767.0,28.06035087719298
3103,15 years of Experience,Sweden,Primary education,Maximum qualification at this stage of career,49582.64,Statutory working time required at school,Hours per year,1360.0,36.45782352941176
3104,15 years of Experience,Sweden,Primary education,Minimum qualification at this stage of career,49582.64,Total statutory working time,Hours per year,1767.0,28.06035087719298
3105,15 years of Experience,Sweden,Primary education,Minimum qualification at this stage of career,49582.64,Statutory working time required at school,Hours per year,1360.0,36.45782352941176
3106,15 years of Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,49582.64,Total statutory working time,Hours per year,1767.0,28.06035087719298
3107,15 years of Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,49582.64,Statutory working time required at school,Hours per year,1360.0,36.45782352941176
3108,Maximum Experience,Sweden,Primary education,Maximum qualification at this stage of career,57041.976,Total statutory working time,Hours per year,1767.0,32.28182003395586
3109,Maximum Experience,Sweden,Primary education,Maximum qualification at this stage of career,57041.976,Statutory working time required at school,Hours per year,1360.0,41.942629411764706
3110,Maximum Experience,Sweden,Primary education,Minimum qualification at this stage of career,57041.976,Total statutory working time,Hours per year,1767.0,32.28182003395586
3111,Maximum Experience,Sweden,Primary education,Minimum qualification at this stage of career,57041.976,Statutory working time required at school,Hours per year,1360.0,41.942629411764706
3112,Maximum Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,57041.976,Total statutory working time,Hours per year,1767.0,32.28182003395586
3113,Maximum Experience,Sweden,Primary education,Most prevalent qualification at this stage of career,57041.976,Statutory working time required at school,Hours per year,1360.0,41.942629411764706
3114,No Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,45132.113,Total statutory working time,Hours per year,1767.0,25.54165987549519
3115,No Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1360.0,33.185377205882354
3116,No Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,45132.113,Total statutory working time,Hours per year,1767.0,25.54165987549519
3117,No Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1360.0,33.185377205882354
3118,No Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,45132.113,Total statutory working time,Hours per year,1767.0,25.54165987549519
3119,No Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,45132.113,Statutory working time required at school,Hours per year,1360.0,33.185377205882354
3120,10 years of Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,49231.613,Total statutory working time,Hours per year,1767.0,27.861693831352575
3121,10 years of Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,49231.613,Statutory working time required at school,Hours per year,1360.0,36.199715441176465
3122,10 years of Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,49231.613,Total statutory working time,Hours per year,1767.0,27.861693831352575
3123,10 years of Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,49231.613,Statutory working time required at school,Hours per year,1360.0,36.199715441176465
3124,10 years of Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,49231.613,Total statutory working time,Hours per year,1767.0,27.861693831352575
3125,10 years of Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,49231.613,Statutory working time required at school,Hours per year,1360.0,36.199715441176465
3126,15 years of Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,51275.095,Total statutory working time,Hours per year,1767.0,29.018163554046406
3127,15 years of Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,51275.095,Statutory working time required at school,Hours per year,1360.0,37.702275735294116
3128,15 years of Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,51275.095,Total statutory working time,Hours per year,1767.0,29.018163554046406
3129,15 years of Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,51275.095,Statutory working time required at school,Hours per year,1360.0,37.702275735294116
3130,15 years of Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,51275.095,Total statutory working time,Hours per year,1767.0,29.018163554046406
3131,15 years of Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,51275.095,Statutory working time required at school,Hours per year,1360.0,37.702275735294116
3132,Maximum Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,59047.847,Total statutory working time,Hours per year,1767.0,33.41700452744765
3133,Maximum Experience,Sweden,Upper secondary general education,Maximum qualification at this stage of career,59047.847,Statutory working time required at school,Hours per year,1360.0,43.41753455882353
3134,Maximum Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,59047.847,Total statutory working time,Hours per year,1767.0,33.41700452744765
3135,Maximum Experience,Sweden,Upper secondary general education,Minimum qualification at this stage of career,59047.847,Statutory working time required at school,Hours per year,1360.0,43.41753455882353
3136,Maximum Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,59047.847,Total statutory working time,Hours per year,1767.0,33.41700452744765
3137,Maximum Experience,Sweden,Upper secondary general education,Most prevalent qualification at this stage of career,59047.847,Statutory working time required at school,Hours per year,1360.0,43.41753455882353
3138,No Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,67503.731,Statutory teaching time,Hours per year,750.0,90.00497466666667
3139,No Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,67503.731,Total statutory working time,Hours per year,1866.0,36.17563290460879
3140,No Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,67503.731,Statutory teaching time,Hours per year,750.0,90.00497466666667
3141,No Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,67503.731,Total statutory working time,Hours per year,1866.0,36.17563290460879
3142,No Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,67503.731,Statutory teaching time,Hours per year,750.0,90.00497466666667
3143,No Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,67503.731,Total statutory working time,Hours per year,1866.0,36.17563290460879
3144,10 years of Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,86263.138,Statutory teaching time,Hours per year,750.0,115.01751733333334
3145,10 years of Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,86263.138,Total statutory working time,Hours per year,1866.0,46.22890568060022
3146,10 years of Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,86263.138,Statutory teaching time,Hours per year,750.0,115.01751733333334
3147,10 years of Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,86263.138,Total statutory working time,Hours per year,1866.0,46.22890568060022
3148,10 years of Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,86263.138,Statutory teaching time,Hours per year,750.0,115.01751733333334
3149,10 years of Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,86263.138,Total statutory working time,Hours per year,1866.0,46.22890568060022
3150,Maximum Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,103515.77,Statutory teaching time,Hours per year,750.0,138.02102666666667
3151,Maximum Experience,Switzerland,Lower secondary general education,Maximum qualification at this stage of career,103515.77,Total statutory working time,Hours per year,1866.0,55.474689174705254
3152,Maximum Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,103515.77,Statutory teaching time,Hours per year,750.0,138.02102666666667
3153,Maximum Experience,Switzerland,Lower secondary general education,Minimum qualification at this stage of career,103515.77,Total statutory working time,Hours per year,1866.0,55.474689174705254
3154,Maximum Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,103515.77,Statutory teaching time,Hours per year,750.0,138.02102666666667
3155,Maximum Experience,Switzerland,Lower secondary general education,Most prevalent qualification at this stage of career,103515.77,Total statutory working time,Hours per year,1866.0,55.474689174705254
3156,No Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,56428.9,Statutory teaching time,Hours per year,787.5,71.65574603174603
3157,No Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,56428.9,Total statutory working time,Hours per year,1866.0,30.240568060021438
3158,No Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,56428.9,Statutory teaching time,Hours per year,787.5,71.65574603174603
3159,No Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,56428.9,Total statutory working time,Hours per year,1866.0,30.240568060021438
3160,No Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,56428.9,Statutory teaching time,Hours per year,787.5,71.65574603174603
3161,No Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,56428.9,Total statutory working time,Hours per year,1866.0,30.240568060021438
3162,10 years of Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,70366.612,Statutory teaching time,Hours per year,787.5,89.35442793650793
3163,10 years of Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,70366.612,Total statutory working time,Hours per year,1866.0,37.70986709539121
3164,10 years of Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,70366.612,Statutory teaching time,Hours per year,787.5,89.35442793650793
3165,10 years of Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,70366.612,Total statutory working time,Hours per year,1866.0,37.70986709539121
3166,10 years of Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,70366.612,Statutory teaching time,Hours per year,787.5,89.35442793650793
3167,10 years of Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,70366.612,Total statutory working time,Hours per year,1866.0,37.70986709539121
3168,Maximum Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,86338.477,Statutory teaching time,Hours per year,787.5,109.63616126984127
3169,Maximum Experience,Switzerland,Pre-primary education,Maximum qualification at this stage of career,86338.477,Total statutory working time,Hours per year,1866.0,46.269280278670955
3170,Maximum Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,86338.477,Statutory teaching time,Hours per year,787.5,109.63616126984127
3171,Maximum Experience,Switzerland,Pre-primary education,Minimum qualification at this stage of career,86338.477,Total statutory working time,Hours per year,1866.0,46.269280278670955
3172,Maximum Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,86338.477,Statutory teaching time,Hours per year,787.5,109.63616126984127
3173,Maximum Experience,Switzerland,Pre-primary education,Most prevalent qualification at this stage of career,86338.477,Total statutory working time,Hours per year,1866.0,46.269280278670955
3174,No Experience,Switzerland,Primary education,Maximum qualification at this stage of career,60873.9,Statutory teaching time,Hours per year,806.25,75.50251162790698
3175,No Experience,Switzerland,Primary education,Maximum qualification at this stage of career,60873.9,Total statutory working time,Hours per year,1866.0,32.62266881028939
3176,No Experience,Switzerland,Primary education,Minimum qualification at this stage of career,60873.9,Statutory teaching time,Hours per year,806.25,75.50251162790698
3177,No Experience,Switzerland,Primary education,Minimum qualification at this stage of career,60873.9,Total statutory working time,Hours per year,1866.0,32.62266881028939
3178,No Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,60873.9,Statutory teaching time,Hours per year,806.25,75.50251162790698
3179,No Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,60873.9,Total statutory working time,Hours per year,1866.0,32.62266881028939
3180,10 years of Experience,Switzerland,Primary education,Maximum qualification at this stage of career,75791.019,Statutory teaching time,Hours per year,806.25,94.00436465116279
3181,10 years of Experience,Switzerland,Primary education,Maximum qualification at this stage of career,75791.019,Total statutory working time,Hours per year,1866.0,40.61683762057878
3182,10 years of Experience,Switzerland,Primary education,Minimum qualification at this stage of career,75791.019,Statutory teaching time,Hours per year,806.25,94.00436465116279
3183,10 years of Experience,Switzerland,Primary education,Minimum qualification at this stage of career,75791.019,Total statutory working time,Hours per year,1866.0,40.61683762057878
3184,10 years of Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,75791.019,Statutory teaching time,Hours per year,806.25,94.00436465116279
3185,10 years of Experience,Switzerland,Primary education,Most prevalent qualification at this stage of career,75791.019,Total statutory working time,Hours per year,1866.0,40.61683762057878
3186,Maximum Experience,Switzerland,Primary education,Maximum qualification at this stage of career,103515.77,Statutory teaching time,Hours per year,806.25,128.3916527131783
3187,Maximum Experience,Switzerland,Primary education,Maximum qualification at this stage of career,103515.77,Total statutory working time,Hours per year,1866.0,55.474689174705254
